"","views","wearing_cap"
"1",435100,FALSE
"2",494200,TRUE
"3",487000,FALSE
"4",472000,FALSE
"5",580300,FALSE
"6",1300000,FALSE
"7",809900,TRUE
"8",628600,FALSE
"9",1900000,FALSE
"10",1100000,FALSE
"11",751800,FALSE
"12",1300000,TRUE
"13",5400000,TRUE
"14",1600000,TRUE
"15",2400000,FALSE
"16",1500000,TRUE
"17",4100000,TRUE
"18",1400000,TRUE
"19",1300000,TRUE
"20",1900000,TRUE
"21",2e+06,TRUE
"22",6300000,FALSE
"23",3200000,FALSE
"24",3100000,TRUE
"25",1400000,TRUE
"26",1800000,TRUE
"27",1300000,TRUE
"28",2400000,TRUE
"29",503800,TRUE
"30",369000,FALSE
"31",411500,FALSE
"32",376200,FALSE
"33",463900,FALSE
"34",327100,FALSE
"35",547200,FALSE
"36",532100,FALSE
"37",3600000,FALSE
"38",1600000,FALSE
"39",699100,TRUE
"40",1100000,FALSE
"41",525900,FALSE
"42",575400,FALSE
"43",946800,FALSE
"44",2200000,FALSE
"45",445500,FALSE
"46",3100000,FALSE
"47",715100,FALSE
"48",374500,TRUE
"49",460200,FALSE
"50",1500000,TRUE
"51",1200000,FALSE
"52",4200000,FALSE
"53",809000,TRUE
"54",576700,FALSE
"55",2500000,FALSE
"56",397000,FALSE
"57",963300,TRUE
"58",922900,TRUE
"59",2800000,FALSE
"60",551400,TRUE
"61",1200000,FALSE
"62",373400,FALSE
"63",977500,FALSE
"64",2200000,FALSE
"65",694500,FALSE
"66",2700000,TRUE
"67",1810000,TRUE
"68",775000,FALSE
"69",958300,TRUE
"70",576300,FALSE
"71",1e+06,FALSE
"72",1100000,FALSE
"73",746300,FALSE
"74",431700,FALSE
"75",1200000,FALSE
"76",1700000,FALSE
"77",823500,FALSE
"78",1e+06,FALSE
"79",1200000,FALSE
"80",923500,FALSE
"81",595000,FALSE
"82",548700,FALSE
"83",1400000,FALSE
"84",2200000,FALSE
"85",1900000,FALSE
"86",541500,TRUE
"87",3200000,FALSE
"88",462500,FALSE
"89",328800,TRUE
"90",926000,TRUE
"91",9200000,FALSE
"92",2800000,FALSE
"93",672200,TRUE
"94",5900000,FALSE
"95",1100000,FALSE
"96",1300000,FALSE
"97",1e+06,FALSE
"98",924400,FALSE
"99",1e+06,FALSE
"100",919200,FALSE
"101",4200000,FALSE
"102",10800000,TRUE
"103",8300000,FALSE
"104",8e+06,FALSE
"105",9500000,TRUE
"106",19900000,FALSE
"107",26700000,FALSE
"108",13200000,FALSE
"109",8100000,FALSE
"110",2600000,FALSE
"111",1900000,FALSE
"112",4900000,TRUE
"113",31900000,TRUE
"114",14900000,TRUE
"115",2300000,FALSE
"116",22200000,FALSE
"117",16900000,FALSE
"118",27800000,FALSE
"119",24400000,TRUE
"120",5400000,TRUE
"121",1400000,FALSE
"122",9800000,FALSE
"123",844000,FALSE
"124",2600000,TRUE
